"Label (Grouping)","Santa Clara County, California!!Total!!Estimate","Santa Clara County, California!!Total!!Margin of Error","Santa Clara County, California!!Percent!!Estimate","Santa Clara County, California!!Percent!!Margin of Error","Santa Clara County, California!!Male!!Estimate","Santa Clara County, California!!Male!!Margin of Error","Santa Clara County, California!!Percent Male!!Estimate","Santa Clara County, California!!Percent Male!!Margin of Error","Santa Clara County, California!!Female!!Estimate","Santa Clara County, California!!Female!!Margin of Error","Santa Clara County, California!!Percent Female!!Estimate","Santa Clara County, California!!Percent Female!!Margin of Error"
"        15 to 44 years","826,312","±1,117","42.9%","±0.1","433,732","±556","44.4%","±0.1","392,580","±1,048","41.3%","±0.1"
"        16 years and over","1,556,732","±2,257","80.7%","±0.1","786,768","±1,817","80.6%","±0.2","769,964","±1,671","80.9%","±0.2"
"        18 years and over","1,511,935","*****","78.4%","*****","763,555","±395","78.2%","±0.1","748,380","±396","78.6%","±0.1"
"        21 years and over","1,447,731","±2,699","75.1%","±0.1","729,520","±1,637","74.7%","±0.2","718,211","±1,845","75.5%","±0.2"
"        60 years and over","376,397","±4,586","19.5%","±0.2","175,536","±3,042","18.0%","±0.3","200,861","±2,781","21.1%","±0.3"
"        62 years and over","330,485","±3,221","17.1%","±0.2","150,463","±2,508","15.4%","±0.3","180,022","±1,992","18.9%","±0.2"
"        65 years and over","266,825","±416","13.8%","±0.1","119,089","±215","12.2%","±0.1","147,736","±295","15.5%","±0.1"
"        75 years and over","118,250","±492","6.1%","±0.1","49,642","±376","5.1%","±0.1","68,608","±270","7.2%","±0.1"
"    SUMMARY INDICATORS","","","","","","","","","","","",""
"        Median age (years)","37.4","±0.1","(X)","(X)","36.3","±0.2","(X)","(X)","38.6","±0.3","(X)","(X)"
"        Sex ratio (males per 100 females)","102.6","±0.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age dependency ratio","54.8","±0.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","21.4","±0.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Child dependency ratio","33.4","±0.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    PERCENT ALLOCATED","","","","","","","","","","","",""
"        Sex","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age","(X)","(X)","2.1%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
