"Label (Grouping)","Santa Clara County, California!!Total!!Estimate","Santa Clara County, California!!Total!!Margin of Error","Santa Clara County, California!!Percent!!Estimate","Santa Clara County, California!!Percent!!Margin of Error","Santa Clara County, California!!Male!!Estimate","Santa Clara County, California!!Male!!Margin of Error","Santa Clara County, California!!Percent Male!!Estimate","Santa Clara County, California!!Percent Male!!Margin of Error","Santa Clara County, California!!Female!!Estimate","Santa Clara County, California!!Female!!Margin of Error","Santa Clara County, California!!Percent Female!!Estimate","Santa Clara County, California!!Percent Female!!Margin of Error","ZCTA5 95112!!Total!!Estimate","ZCTA5 95112!!Total!!Margin of Error","ZCTA5 95112!!Percent!!Estimate","ZCTA5 95112!!Percent!!Margin of Error","ZCTA5 95112!!Male!!Estimate","ZCTA5 95112!!Male!!Margin of Error","ZCTA5 95112!!Percent Male!!Estimate","ZCTA5 95112!!Percent Male!!Margin of Error","ZCTA5 95112!!Female!!Estimate","ZCTA5 95112!!Female!!Margin of Error","ZCTA5 95112!!Percent Female!!Estimate","ZCTA5 95112!!Percent Female!!Margin of Error"
"        15 to 44 years","822,811","*****","42.8%","*****","431,613","±100","44.3%","±0.1","391,198","±100","41.2%","±0.1","33,995","±1,829","56.7%","±1.5","18,435","±1,356","58.6%","±2.3","15,560","±1,195","54.6%","±2.2"
"        16 years and over","1,549,653","±934","80.5%","±0.1","782,685","±629","80.3%","±0.1","766,968","±696","80.8%","±0.1","51,915","±2,098","86.6%","±1.4","27,339","±1,499","86.9%","±1.9","24,576","±1,299","86.3%","±1.6"
"        18 years and over","1,502,391","*****","78.1%","*****","758,018","*****","77.8%","±0.1","744,373","*****","78.4%","±0.1","51,122","±2,074","85.3%","±1.3","26,840","±1,482","85.3%","±1.8","24,282","±1,288","85.2%","±1.6"
"        21 years and over","1,436,965","±936","74.7%","±0.1","723,804","±837","74.3%","±0.1","713,161","±725","75.1%","±0.1","45,340","±1,940","75.6%","±1.8","23,562","±1,452","74.9%","±2.1","21,778","±1,164","76.4%","±2.3"
"        60 years and over","364,232","±1,699","18.9%","±0.1","168,604","±1,166","17.3%","±0.1","195,628","±1,234","20.6%","±0.1","8,581","±684","14.3%","±1.1","3,834","±373","12.2%","±1.2","4,747","±477","16.7%","±1.6"
"        62 years and over","318,337","±1,314","16.5%","±0.1","145,199","±881","14.9%","±0.1","173,138","±952","18.2%","±0.1","7,415","±605","12.4%","±1.0","3,278","±339","10.4%","±1.1","4,137","±421","14.5%","±1.5"
"        65 years and over","259,988","*****","13.5%","*****","115,902","*****","11.9%","±0.1","144,086","*****","15.2%","±0.1","5,876","±548","9.8%","±0.9","2,388","±284","7.6%","±0.9","3,488","±406","12.2%","±1.4"
"        75 years and over","115,249","±67","6.0%","±0.1","48,611","±67","5.0%","±0.1","66,638","*****","7.0%","±0.1","2,340","±431","3.9%","±0.7","923","±208","2.9%","±0.7","1,417","±314","5.0%","±1.1"
"    SUMMARY INDICATORS","","","","","","","","","","","","","","","","","","","","","","","",""
"        Median age (years)","37.2","±0.2","(X)","(X)","36.1","±0.1","(X)","(X)","38.4","±0.2","(X)","(X)","30.9","±0.8","(X)","(X)","30.8","±0.7","(X)","(X)","31.2","±1.3","(X)","(X)"
"        Sex ratio (males per 100 females)","102.6","±0.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","110.5","±7.3","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age dependency ratio","54.9","*****","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","32.5","±2.5","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","20.9","*****","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","13.0","±1.3","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Child dependency ratio","34.0","*****","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","19.5","±2.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    PERCENT ALLOCATED","","","","","","","","","","","","","","","","","","","","","","","",""
"        Sex","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age","(X)","(X)","1.9%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","2.3%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
