,Counties,Year,time_period,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over,winning_candidate,winner_vote_percent,ideological_label
10,"Inyo County, CA",2016,5Y,5.60%,5.50%,5.40%,7.20%,9.10%,7.50%,6.90%,5.90%,5.30%,6.40%,7.40%,8.10%,6.30%,4.20%,3.10%,2.30%,1.80%,1.90%,Donald Trump,52.5,Populist Conservative
11,"Inyo County, CA",2012,5Y,5.80%,5.00%,6.10%,5.70%,5.20%,5.20%,5.90%,5.20%,5.50%,5.30%,7.30%,7.40%,8.80%,7.10%,4.60%,3.60%,2.60%,3.60%,Mitt Romney,54.0,Conservative
12,"Kern County, CA",2012,5Y,8.60%,8.30%,8.00%,8.00%,8.20%,7.60%,7.00%,7.00%,5.80%,6.20%,6.30%,5.10%,4.60%,3.30%,2.20%,1.60%,1.10%,1.10%,Mitt Romney,57.2,Conservative
13,"Kern County, CA",2016,5Y,8.70%,8.20%,8.10%,8.50%,7.90%,7.60%,6.90%,6.50%,6.40%,6.60%,6.20%,5.10%,4.10%,3.10%,2.20%,1.60%,1.20%,1.00%,Donald Trump,53.1,Populist Conservative
14,Contra Costa County,2012,5Y,5.90%,6.70%,6.70%,6.50%,6.10%,6.10%,6.40%,6.60%,6.90%,7.30%,7.60%,6.90%,6.00%,4.80%,3.40%,2.30%,1.70%,1.90%,Barack Obama,66.4,Liberal/Progressive
15,El Dorado County,2016,5Y,4.60%,6.30%,5.40%,6.40%,5.00%,4.70%,4.80%,5.40%,5.90%,7.20%,7.70%,9.40%,8.00%,7.20%,4.70%,2.50%,2.00%,2.80%,Donald Trump,52.6,Populist Conservative
16,El Dorado County,2012,5Y,4.50%,6.30%,6.40%,6.80%,5.80%,4.40%,4.80%,3.90%,7.40%,7.80%,9.10%,8.40%,7.70%,6.20%,3.70%,2.30%,2.40%,2.00%,Mitt Romney,57.4,Conservative
17,"Imperial County, CA",2012,5Y,5.20%,6.10%,6.90%,6.90%,5.10%,4.80%,4.80%,5.50%,6.70%,8.50%,9.20%,8.00%,7.50%,5.40%,3.30%,2.50%,1.80%,1.80%,Barack Obama,65.2,Liberal/Progressive
18,"Imperial County, CA",2016,5Y,8.10%,8.60%,6.80%,8.20%,8.40%,7.10%,6.40%,6.20%,6.90%,6.10%,6.20%,6.70%,3.60%,3.30%,2.50%,2.20%,1.30%,1.40%,Hillary Clinton,67.9,Liberal
19,Calaveras County (5 YR),2016,5Y,8.30%,7.70%,7.80%,7.90%,7.80%,7.40%,7.00%,6.00%,5.90%,5.70%,5.50%,5.20%,5.00%,3.70%,3.30%,2.60%,1.40%,1.80%,Donald Trump,58.4,Populist Conservative
20,Calaveras County (5 YR),2012,5Y,4.10%,5.70%,4.40%,5.80%,4.40%,4.20%,4.20%,3.90%,5.10%,6.50%,7.70%,9.50%,9.30%,9.10%,6.60%,3.90%,3.00%,2.40%,Mitt Romney,56.8,Conservative
21,Kings county,2016,5Y,8.00%,8.40%,6.70%,7.00%,8.10%,8.90%,8.10%,8.30%,6.10%,6.60%,6.40%,5.40%,3.40%,3.10%,1.70%,1.40%,1.30%,0.90%,Donald Trump,53.3,Populist Conservative
22,Kings county,2012,5Y,8.00%,7.90%,7.30%,7.10%,8.70%,8.70%,7.90%,7.80%,6.00%,6.40%,6.10%,5.20%,4.00%,3.10%,2.20%,1.60%,1.20%,1.10%,Mitt Romney,56.2,Conservative
23,Amador County (5 YR),2016,5Y,8.40%,8.00%,6.90%,7.50%,8.60%,8.60%,7.90%,8.10%,6.50%,7.00%,6.10%,4.80%,3.60%,2.70%,1.90%,1.40%,1.10%,0.90%,Donald Trump,59.1,Populist Conservative
24,Amador County (5 YR),2012,5Y,3.80%,4.40%,4.40%,5.30%,4.50%,4.40%,5.10%,5.50%,5.30%,7.20%,8.00%,8.30%,9.40%,8.90%,6.30%,3.50%,3.00%,3.00%,Mitt Romney,58.3,Conservative
25,Butte County,2012,5Y,5.30%,4.90%,6.30%,7.60%,11.60%,6.20%,5.80%,5.00%,5.20%,5.80%,6.60%,6.70%,6.90%,5.40%,2.90%,2.50%,2.80%,2.20%,Mitt Romney,49.0,Conservative
26,Butte County,2016,5Y,5.10%,6.40%,5.40%,7.00%,11.00%,6.60%,5.30%,5.50%,5.10%,5.80%,5.90%,6.80%,6.10%,6.10%,4.40%,2.60%,2.50%,2.50%,Donald Trump,47.2,Populist Conservative
27,Alameda County,2012,5Y,6.30%,6.50%,6.60%,6.90%,7.20%,6.80%,6.60%,6.20%,6.70%,6.90%,7.20%,6.60%,5.70%,4.40%,3.20%,2.40%,1.90%,1.90%,Barack Obama,78.9,Liberal/Progressive
28,Alameda County,2016,5Y,6.10%,6.30%,6.40%,6.70%,6.90%,7.00%,6.70%,6.50%,6.10%,6.50%,6.80%,6.70%,6.10%,5.20%,3.70%,2.60%,1.80%,1.90%,Hillary Clinton,78.7,Liberal
29,Alpine County (5 YR),2016,5Y,6.10%,6.10%,5.90%,5.90%,6.70%,7.90%,8.10%,7.30%,7.50%,7.00%,7.00%,6.50%,5.50%,4.30%,2.90%,2.00%,1.50%,1.70%,Hillary Clinton,55.5,Liberal
30,Alpine County (5 YR),2012,5Y,4.30%,4.90%,6.30%,10.90%,6.80%,5.00%,4.00%,4.50%,6.70%,3.50%,7.40%,8.00%,6.90%,8.50%,4.10%,2.50%,4.50%,1.10%,Barack Obama,59.6,Liberal/Progressive
31,"Merced County, CA",2016,5Y,8.30%,8.40%,8.90%,9.10%,8.60%,6.80%,6.50%,6.80%,5.70%,5.90%,5.90%,5.00%,4.20%,3.60%,2.20%,1.90%,1.30%,1.00%,Hillary Clinton,52.7,Liberal
32,"Merced County, CA",2012,5Y,8.10%,8.50%,8.50%,8.70%,8.10%,7.30%,6.80%,6.20%,6.10%,5.80%,5.80%,5.30%,4.30%,3.50%,2.50%,1.90%,1.30%,1.20%,Barack Obama,53.2,Liberal/Progressive
33,"Mono County, CA",2012,5Y,8.60%,8.40%,8.80%,9.40%,8.00%,7.10%,6.60%,6.40%,6.20%,6.30%,5.80%,4.90%,3.90%,3.10%,2.20%,1.80%,1.30%,1.10%,Barack Obama,52.8,Liberal/Progressive
34,"Mono County, CA",2016,5Y,6.20%,5.70%,7.00%,5.50%,7.40%,8.20%,6.80%,6.60%,8.10%,7.30%,8.00%,7.10%,6.60%,4.80%,1.60%,1.60%,0.50%,1.00%,Hillary Clinton,52.6,Liberal
35,"Mariposa County, CA",2012,5Y,4.40%,6.00%,7.00%,4.60%,12.00%,3.70%,8.20%,5.20%,6.30%,5.70%,9.30%,8.70%,5.90%,3.90%,4.70%,1.70%,1.60%,1.30%,Mitt Romney,57.1,Conservative
36,"Mariposa County, CA",2012,5Y,4.10%,4.40%,4.60%,5.50%,4.70%,4.70%,5.20%,4.90%,4.40%,6.10%,8.20%,8.80%,9.60%,9.10%,6.10%,4.40%,3.70%,1.60%,Mitt Romney,57.1,Conservative
37,"Madera County, CA",2016,5Y,7.90%,8.40%,7.50%,7.40%,7.50%,6.90%,6.90%,6.50%,6.00%,6.30%,6.10%,5.20%,5.50%,4.20%,2.80%,2.40%,1.30%,1.30%,Donald Trump,54.2,Populist Conservative
38,"Madera County, CA",2012,5Y,7.60%,8.10%,7.60%,7.30%,7.30%,7.00%,6.90%,6.40%,6.10%,6.00%,5.90%,5.70%,5.30%,4.40%,3.30%,2.30%,1.50%,1.30%,Mitt Romney,57.3,Conservative
39,"Lake County, CA",2016,5Y,5.40%,5.00%,6.30%,5.40%,5.00%,6.50%,4.80%,5.00%,6.10%,5.80%,9.10%,9.20%,8.30%,7.50%,3.20%,3.00%,2.30%,2.30%,Hillary Clinton,46.9,Liberal
40,"Lake County, CA",2012,5Y,5.60%,5.50%,5.60%,5.90%,5.30%,5.60%,5.30%,5.20%,4.90%,6.10%,7.60%,8.80%,8.30%,7.50%,4.80%,3.40%,2.40%,2.20%,Barack Obama,56.3,Liberal/Progressive
41,"Marin County, CA",2016,5Y,4.90%,5.70%,6.30%,5.60%,4.50%,3.90%,4.40%,6.30%,6.70%,7.70%,8.00%,7.90%,7.40%,7.10%,5.20%,3.30%,2.20%,2.90%,Hillary Clinton,78.1,Liberal
42,"Marin County, CA",2012,5Y,5.30%,5.80%,6.10%,5.70%,3.90%,4.40%,5.00%,5.80%,7.90%,7.90%,8.30%,7.90%,8.00%,6.00%,4.30%,3.00%,2.50%,2.40%,Barack Obama,74.3,Liberal/Progressive
43,"Mendocino County, CA",2016,5Y,5.80%,6.00%,6.40%,6.50%,6.00%,4.70%,5.20%,5.50%,6.90%,5.70%,7.70%,7.50%,9.00%,6.30%,3.80%,2.60%,2.00%,2.50%,Hillary Clinton,58.9,Liberal
44,"Mendocino County, CA",2012,5Y,5.90%,6.40%,5.70%,6.00%,5.40%,5.60%,6.10%,6.20%,5.50%,5.70%,6.80%,7.20%,8.50%,7.40%,4.40%,2.90%,1.80%,2.40%,Barack Obama,66.2,Liberal/Progressive
45,"Modoc County, CA",2012,5Y,6.00%,5.80%,6.30%,6.50%,5.90%,5.70%,5.90%,5.50%,6.20%,6.40%,7.70%,8.30%,7.90%,5.40%,3.50%,2.40%,2.40%,2.20%,Mitt Romney,69.7,Conservative
46,"Modoc County, CA",2016,5Y,5.00%,4.80%,7.50%,6.10%,4.70%,4.20%,4.70%,4.90%,5.30%,8.00%,7.90%,9.00%,7.50%,7.70%,4.40%,4.20%,1.60%,2.30%,Donald Trump,71.2,Populist Conservative
47,"Los Angeles County, CA",2016,5Y,6.50%,6.30%,6.60%,7.20%,7.90%,7.80%,7.40%,6.90%,7.30%,7.00%,6.80%,6.00%,4.90%,3.60%,2.60%,2.00%,1.60%,1.60%,Hillary Clinton,71.8,Liberal
48,"Los Angeles County, CA",2012,5Y,6.30%,6.20%,6.30%,6.80%,7.70%,8.10%,7.50%,6.90%,7.00%,6.90%,6.80%,6.20%,5.20%,4.00%,2.80%,2.10%,1.60%,1.70%,Barack Obama,69.7,Liberal/Progressive
49,"Lassen County, CA",2016,5Y,6.60%,6.40%,6.90%,7.60%,7.70%,7.80%,7.30%,7.20%,7.40%,7.10%,6.70%,5.70%,4.60%,3.30%,2.50%,2.00%,1.60%,1.60%,Donald Trump,72.0,Populist Conservative
50,"Lassen County, CA",2012,5Y,4.50%,4.10%,5.00%,5.10%,9.90%,10.00%,9.50%,7.60%,6.40%,6.90%,6.60%,6.30%,5.90%,4.60%,2.80%,1.70%,1.60%,1.50%,Mitt Romney,68.3,Conservative
51,"Sacramento County, CA",2016,5Y,6.90%,7.00%,6.80%,6.80%,7.40%,7.60%,7.20%,6.60%,6.70%,6.70%,6.90%,6.20%,5.40%,3.90%,2.60%,2.10%,1.50%,1.80%,Hillary Clinton,58.3,Liberal
52,"Sacramento County, CA",2012,5Y,6.70%,6.80%,6.80%,6.50%,7.00%,7.80%,7.40%,6.50%,6.50%,6.50%,6.80%,6.40%,5.50%,4.30%,2.90%,2.20%,1.60%,1.80%,Barack Obama,58.1,Liberal/Progressive
53,"San Diego County, CA",2016,5Y,6.60%,6.30%,6.10%,6.90%,8.70%,8.20%,7.40%,6.80%,6.60%,6.60%,6.80%,6.20%,4.90%,3.70%,2.70%,1.90%,1.80%,1.90%,Hillary Clinton,56.3,Liberal
54,"San Diego County, CA",2012,5Y,6.50%,6.20%,6.00%,6.50%,8.30%,8.50%,7.60%,6.70%,6.50%,6.40%,6.60%,6.10%,5.30%,4.20%,2.90%,2.10%,1.70%,1.80%,Barack Obama,52.6,Liberal/Progressive
55,"San Bernardino County, CA",2016,5Y,7.60%,7.70%,7.80%,8.30%,8.30%,7.30%,6.90%,6.40%,6.70%,6.60%,6.60%,5.50%,4.80%,3.20%,2.40%,1.60%,1.20%,1.20%,Hillary Clinton,52.1,Liberal
56,"San Bernardino County, CA",2012,5Y,7.30%,7.60%,7.60%,7.80%,8.20%,7.60%,7.00%,6.40%,6.40%,6.40%,6.50%,5.90%,4.90%,3.70%,2.50%,1.80%,1.20%,1.20%,Barack Obama,52.5,Liberal/Progressive
57,"Placer County, CA",2016,5Y,5.60%,6.20%,7.40%,6.70%,5.50%,5.40%,5.70%,6.30%,6.80%,7.10%,7.50%,7.10%,5.80%,5.50%,3.90%,3.20%,2.00%,2.10%,Donald Trump,52.0,Populist Conservative
58,"Placer County, CA",2012,5Y,5.40%,6.50%,6.80%,6.60%,5.50%,5.20%,5.80%,6.20%,6.60%,7.00%,7.40%,7.00%,6.20%,5.60%,4.50%,3.20%,2.20%,2.30%,Mitt Romney,58.3,Conservative
59,"Riverside County, CA",2016,5Y,7.20%,7.50%,7.80%,8.10%,7.50%,6.60%,6.50%,6.60%,6.50%,6.60%,6.50%,5.50%,4.80%,4.00%,2.90%,2.30%,1.70%,1.50%,Hillary Clinton,49.7,Liberal
60,"Riverside County, CA",2012,5Y,6.80%,7.40%,7.50%,7.70%,7.40%,6.90%,6.60%,6.40%,6.40%,6.50%,6.50%,5.70%,5.00%,4.30%,3.10%,2.40%,1.70%,1.60%,Barack Obama,49.7,Liberal/Progressive
61,"Plumas County, CA",2016,5Y,7.40%,7.60%,8.10%,8.40%,7.10%,6.60%,6.40%,6.60%,6.80%,6.90%,6.40%,5.30%,4.50%,3.60%,2.90%,2.30%,1.70%,1.40%,Donald Trump,56.0,Populist Conservative
62,"Plumas County, CA",2012,5Y,4.70%,5.00%,4.00%,4.90%,4.10%,4.20%,5.40%,5.30%,4.80%,5.40%,7.60%,9.30%,10.50%,9.10%,6.60%,3.50%,3.00%,2.60%,Mitt Romney,56.9,Conservative
63,"Monterey County, CA",2016,5Y,7.90%,7.80%,6.80%,7.50%,7.90%,7.50%,7.50%,6.60%,6.30%,6.10%,6.30%,5.50%,5.20%,3.30%,2.70%,1.80%,1.40%,2.00%,Hillary Clinton,66.8,Liberal
64,"Monterey County, CA",2012,5Y,7.70%,7.50%,7.20%,7.10%,7.70%,7.40%,7.40%,6.60%,6.40%,6.10%,6.10%,5.70%,5.20%,4.00%,2.70%,1.80%,1.60%,1.90%,Barack Obama,67.1,Liberal/Progressive
65,"San Benito County, CA",2016,5Y,7.90%,7.50%,6.80%,7.70%,7.90%,7.70%,7.20%,6.80%,6.40%,6.40%,6.40%,5.50%,4.90%,3.10%,2.50%,2.00%,1.50%,1.70%,Hillary Clinton,57.1,Liberal
66,"San Benito County, CA",2012,5Y,6.80%,7.40%,8.00%,7.70%,7.00%,6.50%,6.60%,6.40%,6.60%,7.00%,7.20%,6.40%,5.40%,3.80%,2.90%,1.90%,1.20%,1.50%,Barack Obama,59.2,Liberal/Progressive
67,"Orange County, CA",2016,5Y,6.30%,6.50%,6.70%,7.10%,7.50%,7.00%,6.70%,6.60%,7.50%,7.40%,7.20%,6.20%,5.00%,3.90%,2.90%,2.00%,1.70%,1.80%,Hillary Clinton,50.9,Liberal
68,"Orange County, CA",2012,5Y,6.10%,6.20%,6.60%,6.80%,7.20%,7.20%,6.80%,6.50%,7.10%,7.30%,7.20%,6.50%,5.30%,4.30%,3.10%,2.30%,1.70%,1.80%,Mitt Romney,51.9,Conservative
69,"Nevada County, CA",2016,5Y,4.40%,4.10%,5.50%,6.60%,4.60%,4.30%,4.80%,5.20%,5.20%,7.20%,8.20%,8.80%,10.00%,7.10%,5.20%,3.10%,2.90%,2.90%,Hillary Clinton,47.4,Liberal
70,"Nevada County, CA",2012,5Y,4.30%,4.70%,5.40%,5.60%,4.70%,4.50%,5.20%,5.10%,5.30%,5.80%,7.40%,8.70%,9.80%,8.20%,5.80%,3.50%,2.80%,3.10%,Mitt Romney,48.4,Conservative
71,"Santa Barbara County, CA",2016,5Y,4.40%,5.10%,5.60%,6.20%,4.70%,4.60%,4.70%,5.30%,5.50%,7.30%,8.70%,9.50%,8.80%,6.30%,4.70%,3.20%,2.80%,2.70%,Hillary Clinton,60.6,Liberal
72,"Santa Barbara County, CA",2012,5Y,6.50%,6.30%,6.00%,8.70%,10.80%,6.90%,6.50%,5.50%,6.20%,6.20%,6.20%,6.00%,5.00%,4.00%,2.80%,2.30%,1.80%,2.40%,Barack Obama,57.6,Liberal/Progressive
73,"San Mateo County, CA",2016,5Y,5.70%,5.90%,6.00%,5.30%,5.40%,7.10%,7.50%,7.60%,6.70%,7.30%,7.10%,6.80%,6.30%,5.10%,3.50%,2.50%,1.80%,2.30%,Hillary Clinton,75.7,Liberal
74,"San Mateo County, CA",2012,5Y,6.20%,6.40%,5.70%,5.50%,5.50%,6.80%,7.30%,7.30%,7.60%,7.50%,7.50%,7.10%,5.80%,4.30%,3.10%,2.50%,1.90%,2.10%,Barack Obama,72.1,Liberal/Progressive
75,"San Luis Obispo County, CA",2016,5Y,4.80%,5.10%,5.60%,7.80%,11.00%,5.60%,6.00%,5.10%,5.70%,5.90%,7.10%,6.80%,7.20%,5.10%,3.70%,2.60%,2.20%,2.90%,Hillary Clinton,49.7,Liberal
76,"San Luis Obispo County, CA",2012,5Y,4.90%,5.10%,5.10%,8.00%,10.80%,5.60%,6.00%,5.50%,5.10%,5.70%,6.60%,7.20%,6.90%,6.10%,4.00%,2.90%,2.20%,2.40%,Barack Obama,48.8,Liberal/Progressive
77,"Solano County, CA",2016,5Y,6.20%,6.20%,6.20%,6.10%,6.90%,7.60%,7.00%,6.60%,5.60%,6.30%,7.00%,7.00%,6.50%,5.40%,3.50%,2.40%,1.50%,1.90%,Hillary Clinton,61.6,Liberal
78,"Solano County, CA",2012,5Y,6.30%,6.20%,6.90%,6.80%,7.40%,7.10%,6.60%,6.10%,6.50%,7.20%,7.60%,7.10%,6.00%,4.60%,2.40%,2.30%,1.40%,1.50%,Barack Obama,63.5,Liberal/Progressive
79,"Sierra County, CA ",2012,5Y,6.50%,6.70%,6.80%,7.30%,7.10%,6.90%,6.40%,6.50%,6.70%,7.60%,7.70%,6.60%,5.80%,3.80%,2.60%,2.20%,1.50%,1.40%,Mitt Romney,58.8,Conservative
80,"Sierra County, CA ",2016,5Y,5.20%,4.10%,4.20%,6.30%,2.10%,3.00%,3.20%,4.30%,7.60%,7.30%,9.50%,12.90%,8.60%,9.30%,3.80%,5.40%,1.60%,1.70%,Donald Trump,57.3,Populist Conservative
81,"San Joaquin County, CA",2016,5Y,7.70%,8.00%,8.10%,7.90%,7.40%,6.70%,6.60%,6.60%,6.40%,6.50%,6.50%,5.40%,5.00%,3.50%,2.70%,2.10%,1.40%,1.40%,Hillary Clinton,54.0,Liberal
82,"San Joaquin County, CA",2016,5Y,7.30%,7.80%,8.00%,7.70%,7.30%,6.90%,6.70%,6.50%,6.40%,6.40%,6.50%,5.80%,5.00%,3.90%,2.90%,2.00%,1.40%,1.50%,Hillary Clinton,54.0,Liberal
83,"Santa Cruz County, CA",2016,5Y,5.30%,5.50%,5.50%,8.50%,10.00%,5.90%,5.60%,6.50%,5.30%,6.40%,6.80%,7.10%,6.70%,5.40%,3.90%,2.70%,1.40%,1.50%,Hillary Clinton,73.9,Liberal
84,"Santa Cruz County, CA",2012,5Y,5.60%,5.30%,6.30%,8.50%,9.80%,6.00%,6.10%,5.70%,6.70%,6.50%,7.20%,8.10%,5.90%,4.80%,2.20%,1.70%,1.50%,2.00%,Barack Obama,75.6,Liberal/Progressive
85,"Shasta County, CA",2016,5Y,5.70%,5.60%,5.90%,8.50%,9.80%,6.30%,6.10%,5.80%,6.80%,7.00%,7.60%,7.60%,6.00%,3.70%,2.40%,1.80%,1.70%,1.70%,Donald Trump,64.7,Populist Conservative
86,"Shasta County, CA",2012,5Y,5.50%,5.50%,6.30%,6.90%,6.30%,5.90%,5.20%,5.10%,6.20%,6.60%,7.70%,7.40%,7.10%,6.10%,4.30%,2.70%,2.70%,2.50%,Mitt Romney,63.0,Conservative
87,"Siskiyou County, CA",2012,5Y,5.90%,5.70%,6.30%,6.10%,5.80%,6.20%,6.00%,5.30%,5.30%,5.70%,6.60%,7.00%,7.80%,6.80%,5.10%,3.90%,2.60%,1.80%,Mitt Romney,55.6,Conservative
88,"Siskiyou County, CA",2016,5Y,5.30%,5.90%,5.60%,6.20%,4.90%,4.90%,4.60%,5.00%,5.20%,6.70%,8.30%,8.70%,8.80%,6.30%,5.00%,3.50%,2.70%,2.40%,Donald Trump,55.3,Populist Conservative
89,"Santa Clara County, CA",2016,5Y,6.20%,6.40%,6.30%,5.90%,6.30%,7.90%,7.90%,7.30%,7.20%,7.20%,6.90%,6.30%,5.30%,4.10%,3.10%,2.10%,1.60%,1.80%,Hillary Clinton,73.7,Liberal
90,"Tulare County, CA",2016,5Y,9.10%,9.20%,8.60%,8.50%,7.60%,7.00%,7.20%,5.90%,6.30%,5.80%,5.60%,5.00%,4.20%,3.20%,2.40%,1.80%,1.20%,1.30%,Donald Trump,51.9,Populist Conservative
91,"Tulare County, CA",2012,5Y,8.70%,9.00%,8.70%,8.20%,7.60%,7.10%,6.90%,6.00%,6.30%,5.80%,5.70%,5.10%,4.50%,3.60%,2.40%,1.80%,1.30%,1.30%,Mitt Romney,56.3,Conservative
92,"Trinity County, CA",2016,5Y,9.30%,8.60%,9.10%,8.70%,7.40%,7.30%,6.70%,6.30%,6.00%,6.10%,5.70%,5.00%,4.10%,3.10%,2.20%,1.70%,1.30%,1.20%,Donald Trump,49.5,Populist Conservative
93,"Trinity County, CA",2012,5Y,4.40%,4.60%,5.00%,5.70%,3.00%,3.70%,4.70%,5.80%,5.60%,6.30%,7.50%,9.10%,10.50%,8.90%,5.40%,4.20%,3.00%,2.60%,Mitt Romney,47.9,Conservative
94,"Tuolumne County, CA",2016,5Y,5.90%,4.40%,5.60%,4.70%,4.40%,4.50%,5.10%,6.30%,3.70%,7.10%,9.10%,10.40%,8.90%,6.90%,5.20%,3.40%,1.50%,3.10%,Donald Trump,57.0,Populist Conservative
95,"Tuolumne County, CA",2012,5Y,4.20%,5.20%,4.20%,5.30%,5.50%,5.70%,5.90%,5.50%,4.90%,5.60%,7.10%,8.30%,9.10%,7.60%,6.10%,3.70%,2.90%,3.10%,Mitt Romney,56.2,Conservative
96,"Yolo County, CA",2016,5Y,5.70%,5.80%,6.10%,8.90%,14.70%,6.90%,6.40%,5.70%,6.20%,6.40%,6.10%,5.60%,4.50%,3.80%,2.60%,1.70%,1.00%,1.90%,Hillary Clinton,66.7,Liberal
97,"Yolo County, CA",2012,5Y,5.90%,6.10%,6.00%,9.20%,14.50%,7.00%,6.50%,5.70%,5.90%,5.70%,5.70%,5.40%,5.00%,3.80%,2.70%,1.90%,1.30%,1.70%,Barack Obama,65.4,Liberal/Progressive
98,"Sutter County, CA",2016,5Y,7.20%,8.70%,6.50%,9.00%,6.20%,6.70%,6.50%,5.30%,7.70%,5.50%,6.50%,5.90%,4.90%,3.70%,3.60%,2.30%,1.80%,2.20%,Donald Trump,54.2,Populist Conservative
99,"Sutter County, CA",2012,5Y,6.90%,8.10%,6.90%,7.00%,6.80%,7.00%,6.50%,6.00%,6.20%,6.00%,6.70%,6.00%,5.40%,4.60%,3.40%,2.40%,2.10%,2.00%,Mitt Romney,58.4,Conservative
100,"Tehama County, CA",2016,5Y,7.50%,8.00%,7.10%,7.70%,6.90%,6.90%,6.50%,6.50%,6.20%,6.80%,6.50%,5.40%,5.20%,3.80%,3.30%,2.40%,1.90%,1.40%,Donald Trump,64.8,Populist Conservative
101,"Tehama County, CA",2012,5Y,6.10%,7.10%,6.60%,6.30%,5.90%,6.00%,5.60%,5.60%,5.80%,6.10%,7.30%,6.80%,6.90%,5.90%,4.60%,3.60%,1.80%,2.10%,Mitt Romney,62.0,Conservative
102,"Stanislaus County, CA",2016,5Y,7.60%,7.20%,8.40%,7.90%,7.40%,7.00%,6.60%,5.90%,6.80%,6.80%,6.60%,5.50%,5.10%,3.70%,2.70%,1.80%,1.50%,1.60%,Hillary Clinton,47.4,Liberal
103,"Stanislaus County, CA",2012,5Y,7.40%,7.50%,7.90%,7.50%,7.30%,7.20%,6.80%,6.20%,6.40%,6.30%,6.50%,5.90%,5.00%,4.00%,3.00%,2.10%,1.50%,1.60%,Barack Obama,50.0,Liberal/Progressive
104,"Sonoma County, CA",2016,5Y,5.60%,6.00%,6.00%,6.30%,7.00%,6.40%,6.30%,6.00%,6.20%,6.80%,7.60%,7.40%,7.10%,5.00%,3.50%,2.40%,1.80%,2.40%,Hillary Clinton,69.4,Liberal
105,"Sonoma County, CA",2012,5Y,5.30%,5.80%,5.80%,6.20%,6.40%,6.50%,6.50%,6.00%,6.30%,6.50%,7.30%,7.30%,7.30%,6.10%,3.90%,2.60%,1.90%,2.30%,Barack Obama,71.1,Liberal/Progressive
