,Counties,Year,time_period,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over
15,"Inyo County, CA",2012,5Y,5.80%,5.00%,6.10%,5.70%,5.20%,5.20%,5.90%,5.20%,5.50%,5.30%,7.30%,7.40%,8.80%,7.10%,4.60%,3.60%,2.60%,3.60%
18,"Kern County, CA",2012,5Y,8.60%,8.30%,8.00%,8.00%,8.20%,7.60%,7.00%,7.00%,5.80%,6.20%,6.30%,5.10%,4.60%,3.30%,2.20%,1.60%,1.10%,1.10%
19,"Kern County, CA",2016,5Y,8.70%,8.20%,8.10%,8.50%,7.90%,7.60%,6.90%,6.50%,6.40%,6.60%,6.20%,5.10%,4.10%,3.10%,2.20%,1.60%,1.20%,1.00%
22,Contra Costa County,2015,5Y,6.30%,6.50%,6.60%,6.90%,7.20%,6.80%,6.60%,6.20%,6.70%,6.90%,7.20%,6.60%,5.70%,4.40%,3.20%,2.40%,1.90%,1.90%
23,Contra Costa County,2012,5Y,5.90%,6.70%,6.70%,6.50%,6.10%,6.10%,6.40%,6.60%,6.90%,7.30%,7.60%,6.90%,6.00%,4.80%,3.40%,2.30%,1.70%,1.90%
25,El Dorado County,2016,5Y,4.60%,6.30%,5.40%,6.40%,5.00%,4.70%,4.80%,5.40%,5.90%,7.20%,7.70%,9.40%,8.00%,7.20%,4.70%,2.50%,2.00%,2.80%
27,El Dorado County,2012,5Y,4.50%,6.30%,6.40%,6.80%,5.80%,4.40%,4.80%,3.90%,7.40%,7.80%,9.10%,8.40%,7.70%,6.20%,3.70%,2.30%,2.40%,2.00%
28,"Imperial County, CA",2012,5Y,5.20%,6.10%,6.90%,6.90%,5.10%,4.80%,4.80%,5.50%,6.70%,8.50%,9.20%,8.00%,7.50%,5.40%,3.30%,2.50%,1.80%,1.80%
30,"Imperial County, CA",2016,5Y,8.10%,8.60%,6.80%,8.20%,8.40%,7.10%,6.40%,6.20%,6.90%,6.10%,6.20%,6.70%,3.60%,3.30%,2.50%,2.20%,1.30%,1.40%
32,Calaveras County (5 YR),2016,5Y,8.30%,7.70%,7.80%,7.90%,7.80%,7.40%,7.00%,6.00%,5.90%,5.70%,5.50%,5.20%,5.00%,3.70%,3.30%,2.60%,1.40%,1.80%
33,Calaveras County (5 YR),2012,5Y,4.10%,5.70%,4.40%,5.80%,4.40%,4.20%,4.20%,3.90%,5.10%,6.50%,7.70%,9.50%,9.30%,9.10%,6.60%,3.90%,3.00%,2.40%
36,Kings county,2016,5Y,8.00%,8.40%,6.70%,7.00%,8.10%,8.90%,8.10%,8.30%,6.10%,6.60%,6.40%,5.40%,3.40%,3.10%,1.70%,1.40%,1.30%,0.90%
37,Kings county,2012,5Y,8.00%,7.90%,7.30%,7.10%,8.70%,8.70%,7.90%,7.80%,6.00%,6.40%,6.10%,5.20%,4.00%,3.10%,2.20%,1.60%,1.20%,1.10%
38,Amador County (5 YR),2016,5Y,8.40%,8.00%,6.90%,7.50%,8.60%,8.60%,7.90%,8.10%,6.50%,7.00%,6.10%,4.80%,3.60%,2.70%,1.90%,1.40%,1.10%,0.90%
39,Amador County (5 YR),2012,5Y,3.80%,4.40%,4.40%,5.30%,4.50%,4.40%,5.10%,5.50%,5.30%,7.20%,8.00%,8.30%,9.40%,8.90%,6.30%,3.50%,3.00%,3.00%
41,Butte County,2012,5Y,5.30%,4.90%,6.30%,7.60%,11.60%,6.20%,5.80%,5.00%,5.20%,5.80%,6.60%,6.70%,6.90%,5.40%,2.90%,2.50%,2.80%,2.20%
43,Butte County,2016,5Y,5.10%,6.40%,5.40%,7.00%,11.00%,6.60%,5.30%,5.50%,5.10%,5.80%,5.90%,6.80%,6.10%,6.10%,4.40%,2.60%,2.50%,2.50%
45,Alameda County,2012,5Y,6.30%,6.50%,6.60%,6.90%,7.20%,6.80%,6.60%,6.20%,6.70%,6.90%,7.20%,6.60%,5.70%,4.40%,3.20%,2.40%,1.90%,1.90%
47,Alameda County,2016,5Y,6.10%,6.30%,6.40%,6.70%,6.90%,7.00%,6.70%,6.50%,6.10%,6.50%,6.80%,6.70%,6.10%,5.20%,3.70%,2.60%,1.80%,1.90%
48,Alpine County (5 YR),2016,5Y,6.10%,6.10%,5.90%,5.90%,6.70%,7.90%,8.10%,7.30%,7.50%,7.00%,7.00%,6.50%,5.50%,4.30%,2.90%,2.00%,1.50%,1.70%
49,Alpine County (5 YR),2012,5Y,4.30%,4.90%,6.30%,10.90%,6.80%,5.00%,4.00%,4.50%,6.70%,3.50%,7.40%,8.00%,6.90%,8.50%,4.10%,2.50%,4.50%,1.10%
52,"Merced County, CA",2016,5Y,8.30%,8.40%,8.90%,9.10%,8.60%,6.80%,6.50%,6.80%,5.70%,5.90%,5.90%,5.00%,4.20%,3.60%,2.20%,1.90%,1.30%,1.00%
53,"Merced County, CA",2012,5Y,8.10%,8.50%,8.50%,8.70%,8.10%,7.30%,6.80%,6.20%,6.10%,5.80%,5.80%,5.30%,4.30%,3.50%,2.50%,1.90%,1.30%,1.20%
54,"Mono County, CA",2012,5Y,8.60%,8.40%,8.80%,9.40%,8.00%,7.10%,6.60%,6.40%,6.20%,6.30%,5.80%,4.90%,3.90%,3.10%,2.20%,1.80%,1.30%,1.10%
55,"Mono County, CA",2016,5Y,6.20%,5.70%,7.00%,5.50%,7.40%,8.20%,6.80%,6.60%,8.10%,7.30%,8.00%,7.10%,6.60%,4.80%,1.60%,1.60%,0.50%,1.00%
56,"Mariposa County, CA",2012,5Y,4.40%,6.00%,7.00%,4.60%,12.00%,3.70%,8.20%,5.20%,6.30%,5.70%,9.30%,8.70%,5.90%,3.90%,4.70%,1.70%,1.60%,1.30%
57,"Mariposa County, CA",2012,5Y,4.10%,4.40%,4.60%,5.50%,4.70%,4.70%,5.20%,4.90%,4.40%,6.10%,8.20%,8.80%,9.60%,9.10%,6.10%,4.40%,3.70%,1.60%
60,"Madera County, CA",2016,5Y,7.90%,8.40%,7.50%,7.40%,7.50%,6.90%,6.90%,6.50%,6.00%,6.30%,6.10%,5.20%,5.50%,4.20%,2.80%,2.40%,1.30%,1.30%
61,"Madera County, CA",2012,5Y,7.60%,8.10%,7.60%,7.30%,7.30%,7.00%,6.90%,6.40%,6.10%,6.00%,5.90%,5.70%,5.30%,4.40%,3.30%,2.30%,1.50%,1.30%
64,"Lake County, CA",2016,5Y,5.40%,5.00%,6.30%,5.40%,5.00%,6.50%,4.80%,5.00%,6.10%,5.80%,9.10%,9.20%,8.30%,7.50%,3.20%,3.00%,2.30%,2.30%
65,"Lake County, CA",2012,5Y,5.60%,5.50%,5.60%,5.90%,5.30%,5.60%,5.30%,5.20%,4.90%,6.10%,7.60%,8.80%,8.30%,7.50%,4.80%,3.40%,2.40%,2.20%
67,"Marin County, CA",2016,5Y,4.90%,5.70%,6.30%,5.60%,4.50%,3.90%,4.40%,6.30%,6.70%,7.70%,8.00%,7.90%,7.40%,7.10%,5.20%,3.30%,2.20%,2.90%
69,"Marin County, CA",2012,5Y,5.30%,5.80%,6.10%,5.70%,3.90%,4.40%,5.00%,5.80%,7.90%,7.90%,8.30%,7.90%,8.00%,6.00%,4.30%,3.00%,2.50%,2.40%
72,"Mendocino County, CA",2016,5Y,5.80%,6.00%,6.40%,6.50%,6.00%,4.70%,5.20%,5.50%,6.90%,5.70%,7.70%,7.50%,9.00%,6.30%,3.80%,2.60%,2.00%,2.50%
73,"Mendocino County, CA",2012,5Y,5.90%,6.40%,5.70%,6.00%,5.40%,5.60%,6.10%,6.20%,5.50%,5.70%,6.80%,7.20%,8.50%,7.40%,4.40%,2.90%,1.80%,2.40%
74,"Modoc County, CA",2012,5Y,6.00%,5.80%,6.30%,6.50%,5.90%,5.70%,5.90%,5.50%,6.20%,6.40%,7.70%,8.30%,7.90%,5.40%,3.50%,2.40%,2.40%,2.20%
75,"Modoc County, CA",2016,5Y,5.00%,4.80%,7.50%,6.10%,4.70%,4.20%,4.70%,4.90%,5.30%,8.00%,7.90%,9.00%,7.50%,7.70%,4.40%,4.20%,1.60%,2.30%
78,"Los Angeles County, CA",2016,5Y,6.50%,6.30%,6.60%,7.20%,7.90%,7.80%,7.40%,6.90%,7.30%,7.00%,6.80%,6.00%,4.90%,3.60%,2.60%,2.00%,1.60%,1.60%
79,"Los Angeles County, CA",2012,5Y,6.30%,6.20%,6.30%,6.80%,7.70%,8.10%,7.50%,6.90%,7.00%,6.90%,6.80%,6.20%,5.20%,4.00%,2.80%,2.10%,1.60%,1.70%
80,"Lassen County, CA",2016,5Y,6.60%,6.40%,6.90%,7.60%,7.70%,7.80%,7.30%,7.20%,7.40%,7.10%,6.70%,5.70%,4.60%,3.30%,2.50%,2.00%,1.60%,1.60%
81,"Lassen County, CA",2012,5Y,4.50%,4.10%,5.00%,5.10%,9.90%,10.00%,9.50%,7.60%,6.40%,6.90%,6.60%,6.30%,5.90%,4.60%,2.80%,1.70%,1.60%,1.50%
84,"Sacramento County, CA",2016,5Y,6.90%,7.00%,6.80%,6.80%,7.40%,7.60%,7.20%,6.60%,6.70%,6.70%,6.90%,6.20%,5.40%,3.90%,2.60%,2.10%,1.50%,1.80%
85,"Sacramento County, CA",2012,5Y,6.70%,6.80%,6.80%,6.50%,7.00%,7.80%,7.40%,6.50%,6.50%,6.50%,6.80%,6.40%,5.50%,4.30%,2.90%,2.20%,1.60%,1.80%
88,"San Diego County, CA",2016,5Y,6.60%,6.30%,6.10%,6.90%,8.70%,8.20%,7.40%,6.80%,6.60%,6.60%,6.80%,6.20%,4.90%,3.70%,2.70%,1.90%,1.80%,1.90%
89,"San Diego County, CA",2012,5Y,6.50%,6.20%,6.00%,6.50%,8.30%,8.50%,7.60%,6.70%,6.50%,6.40%,6.60%,6.10%,5.30%,4.20%,2.90%,2.10%,1.70%,1.80%
92,"San Bernardino County, CA",2016,5Y,7.60%,7.70%,7.80%,8.30%,8.30%,7.30%,6.90%,6.40%,6.70%,6.60%,6.60%,5.50%,4.80%,3.20%,2.40%,1.60%,1.20%,1.20%
93,"San Bernardino County, CA",2012,5Y,7.30%,7.60%,7.60%,7.80%,8.20%,7.60%,7.00%,6.40%,6.40%,6.40%,6.50%,5.90%,4.90%,3.70%,2.50%,1.80%,1.20%,1.20%
96,"Placer County, CA",2016,5Y,5.60%,6.20%,7.40%,6.70%,5.50%,5.40%,5.70%,6.30%,6.80%,7.10%,7.50%,7.10%,5.80%,5.50%,3.90%,3.20%,2.00%,2.10%
97,"Placer County, CA",2012,5Y,5.40%,6.50%,6.80%,6.60%,5.50%,5.20%,5.80%,6.20%,6.60%,7.00%,7.40%,7.00%,6.20%,5.60%,4.50%,3.20%,2.20%,2.30%
100,"Riverside County, CA",2016,5Y,7.20%,7.50%,7.80%,8.10%,7.50%,6.60%,6.50%,6.60%,6.50%,6.60%,6.50%,5.50%,4.80%,4.00%,2.90%,2.30%,1.70%,1.50%
101,"Riverside County, CA",2012,5Y,6.80%,7.40%,7.50%,7.70%,7.40%,6.90%,6.60%,6.40%,6.40%,6.50%,6.50%,5.70%,5.00%,4.30%,3.10%,2.40%,1.70%,1.60%
102,"Plumas County, CA",2016,5Y,7.40%,7.60%,8.10%,8.40%,7.10%,6.60%,6.40%,6.60%,6.80%,6.90%,6.40%,5.30%,4.50%,3.60%,2.90%,2.30%,1.70%,1.40%
103,"Plumas County, CA",2012,5Y,4.70%,5.00%,4.00%,4.90%,4.10%,4.20%,5.40%,5.30%,4.80%,5.40%,7.60%,9.30%,10.50%,9.10%,6.60%,3.50%,3.00%,2.60%
106,"Monterey County, CA",2016,5Y,7.90%,7.80%,6.80%,7.50%,7.90%,7.50%,7.50%,6.60%,6.30%,6.10%,6.30%,5.50%,5.20%,3.30%,2.70%,1.80%,1.40%,2.00%
107,"Monterey County, CA",2012,5Y,7.70%,7.50%,7.20%,7.10%,7.70%,7.40%,7.40%,6.60%,6.40%,6.10%,6.10%,5.70%,5.20%,4.00%,2.70%,1.80%,1.60%,1.90%
108,"San Benito County, CA",2016,5Y,7.90%,7.50%,6.80%,7.70%,7.90%,7.70%,7.20%,6.80%,6.40%,6.40%,6.40%,5.50%,4.90%,3.10%,2.50%,2.00%,1.50%,1.70%
109,"San Benito County, CA",2012,5Y,6.80%,7.40%,8.00%,7.70%,7.00%,6.50%,6.60%,6.40%,6.60%,7.00%,7.20%,6.40%,5.40%,3.80%,2.90%,1.90%,1.20%,1.50%
112,"Orange County, CA",2016,5Y,6.30%,6.50%,6.70%,7.10%,7.50%,7.00%,6.70%,6.60%,7.50%,7.40%,7.20%,6.20%,5.00%,3.90%,2.90%,2.00%,1.70%,1.80%
113,"Orange County, CA",2012,5Y,6.10%,6.20%,6.60%,6.80%,7.20%,7.20%,6.80%,6.50%,7.10%,7.30%,7.20%,6.50%,5.30%,4.30%,3.10%,2.30%,1.70%,1.80%
116,"Nevada County, CA",2016,5Y,4.40%,4.10%,5.50%,6.60%,4.60%,4.30%,4.80%,5.20%,5.20%,7.20%,8.20%,8.80%,10.00%,7.10%,5.20%,3.10%,2.90%,2.90%
117,"Nevada County, CA",2012,5Y,4.30%,4.70%,5.40%,5.60%,4.70%,4.50%,5.20%,5.10%,5.30%,5.80%,7.40%,8.70%,9.80%,8.20%,5.80%,3.50%,2.80%,3.10%
118,"Santa Barbara County, CA",2016,5Y,4.40%,5.10%,5.60%,6.20%,4.70%,4.60%,4.70%,5.30%,5.50%,7.30%,8.70%,9.50%,8.80%,6.30%,4.70%,3.20%,2.80%,2.70%
121,"Santa Barbara County, CA",2012,5Y,6.50%,6.30%,6.00%,8.70%,10.80%,6.90%,6.50%,5.50%,6.20%,6.20%,6.20%,6.00%,5.00%,4.00%,2.80%,2.30%,1.80%,2.40%
123,"San Mateo County, CA",2016,5Y,5.70%,5.90%,6.00%,5.30%,5.40%,7.10%,7.50%,7.60%,6.70%,7.30%,7.10%,6.80%,6.30%,5.10%,3.50%,2.50%,1.80%,2.30%
125,"San Mateo County, CA",2012,5Y,6.20%,6.40%,5.70%,5.50%,5.50%,6.80%,7.30%,7.30%,7.60%,7.50%,7.50%,7.10%,5.80%,4.30%,3.10%,2.50%,1.90%,2.10%
128,"San Luis Obispo County, CA",2016,5Y,4.80%,5.10%,5.60%,7.80%,11.00%,5.60%,6.00%,5.10%,5.70%,5.90%,7.10%,6.80%,7.20%,5.10%,3.70%,2.60%,2.20%,2.90%
129,"San Luis Obispo County, CA",2012,5Y,4.90%,5.10%,5.10%,8.00%,10.80%,5.60%,6.00%,5.50%,5.10%,5.70%,6.60%,7.20%,6.90%,6.10%,4.00%,2.90%,2.20%,2.40%
131,"Solano County, CA",2016,5Y,6.20%,6.20%,6.20%,6.10%,6.90%,7.60%,7.00%,6.60%,5.60%,6.30%,7.00%,7.00%,6.50%,5.40%,3.50%,2.40%,1.50%,1.90%
133,"Solano County, CA",2012,5Y,6.30%,6.20%,6.90%,6.80%,7.40%,7.10%,6.60%,6.10%,6.50%,7.20%,7.60%,7.10%,6.00%,4.60%,2.40%,2.30%,1.40%,1.50%
134,"Sierra County, CA ",2012,5Y,6.50%,6.70%,6.80%,7.30%,7.10%,6.90%,6.40%,6.50%,6.70%,7.60%,7.70%,6.60%,5.80%,3.80%,2.60%,2.20%,1.50%,1.40%
135,"Sierra County, CA ",2016,5Y,5.20%,4.10%,4.20%,6.30%,2.10%,3.00%,3.20%,4.30%,7.60%,7.30%,9.50%,12.90%,8.60%,9.30%,3.80%,5.40%,1.60%,1.70%
138,"San Joaquin County, CA",2016,5Y,7.70%,8.00%,8.10%,7.90%,7.40%,6.70%,6.60%,6.60%,6.40%,6.50%,6.50%,5.40%,5.00%,3.50%,2.70%,2.10%,1.40%,1.40%
139,"San Joaquin County, CA",2016,5Y,7.30%,7.80%,8.00%,7.70%,7.30%,6.90%,6.70%,6.50%,6.40%,6.40%,6.50%,5.80%,5.00%,3.90%,2.90%,2.00%,1.40%,1.50%
141,"Santa Cruz County, CA",2016,5Y,5.30%,5.50%,5.50%,8.50%,10.00%,5.90%,5.60%,6.50%,5.30%,6.40%,6.80%,7.10%,6.70%,5.40%,3.90%,2.70%,1.40%,1.50%
143,"Santa Cruz County, CA",2012,5Y,5.60%,5.30%,6.30%,8.50%,9.80%,6.00%,6.10%,5.70%,6.70%,6.50%,7.20%,8.10%,5.90%,4.80%,2.20%,1.70%,1.50%,2.00%
144,"Shasta County, CA",2016,5Y,5.70%,5.60%,5.90%,8.50%,9.80%,6.30%,6.10%,5.80%,6.80%,7.00%,7.60%,7.60%,6.00%,3.70%,2.40%,1.80%,1.70%,1.70%
146,"Shasta County, CA",2012,5Y,5.50%,5.50%,6.30%,6.90%,6.30%,5.90%,5.20%,5.10%,6.20%,6.60%,7.70%,7.40%,7.10%,6.10%,4.30%,2.70%,2.70%,2.50%
148,"Siskiyou County, CA",2012,5Y,5.90%,5.70%,6.30%,6.10%,5.80%,6.20%,6.00%,5.30%,5.30%,5.70%,6.60%,7.00%,7.80%,6.80%,5.10%,3.90%,2.60%,1.80%
149,"Siskiyou County, CA",2016,5Y,5.30%,5.90%,5.60%,6.20%,4.90%,4.90%,4.60%,5.00%,5.20%,6.70%,8.30%,8.70%,8.80%,6.30%,5.00%,3.50%,2.70%,2.40%
151,"Santa Clara County, CA",2016,5Y,6.20%,6.40%,6.30%,5.90%,6.30%,7.90%,7.90%,7.30%,7.20%,7.20%,6.90%,6.30%,5.30%,4.10%,3.10%,2.10%,1.60%,1.80%
156,"Tulare County, CA",2016,5Y,9.10%,9.20%,8.60%,8.50%,7.60%,7.00%,7.20%,5.90%,6.30%,5.80%,5.60%,5.00%,4.20%,3.20%,2.40%,1.80%,1.20%,1.30%
157,"Tulare County, CA",2012,5Y,8.70%,9.00%,8.70%,8.20%,7.60%,7.10%,6.90%,6.00%,6.30%,5.80%,5.70%,5.10%,4.50%,3.60%,2.40%,1.80%,1.30%,1.30%
158,"Trinity County, CA",2016,5Y,9.30%,8.60%,9.10%,8.70%,7.40%,7.30%,6.70%,6.30%,6.00%,6.10%,5.70%,5.00%,4.10%,3.10%,2.20%,1.70%,1.30%,1.20%
159,"Trinity County, CA",2012,5Y,4.40%,4.60%,5.00%,5.70%,3.00%,3.70%,4.70%,5.80%,5.60%,6.30%,7.50%,9.10%,10.50%,8.90%,5.40%,4.20%,3.00%,2.60%
160,"Tuolumne County, CA",2016,5Y,5.90%,4.40%,5.60%,4.70%,4.40%,4.50%,5.10%,6.30%,3.70%,7.10%,9.10%,10.40%,8.90%,6.90%,5.20%,3.40%,1.50%,3.10%
161,"Tuolumne County, CA",2012,5Y,4.20%,5.20%,4.20%,5.30%,5.50%,5.70%,5.90%,5.50%,4.90%,5.60%,7.10%,8.30%,9.10%,7.60%,6.10%,3.70%,2.90%,3.10%
164,"Yolo County, CA",2016,5Y,5.70%,5.80%,6.10%,8.90%,14.70%,6.90%,6.40%,5.70%,6.20%,6.40%,6.10%,5.60%,4.50%,3.80%,2.60%,1.70%,1.00%,1.90%
165,"Yolo County, CA",2012,5Y,5.90%,6.10%,6.00%,9.20%,14.50%,7.00%,6.50%,5.70%,5.90%,5.70%,5.70%,5.40%,5.00%,3.80%,2.70%,1.90%,1.30%,1.70%
168,"Sutter County, CA",2016,5Y,7.20%,8.70%,6.50%,9.00%,6.20%,6.70%,6.50%,5.30%,7.70%,5.50%,6.50%,5.90%,4.90%,3.70%,3.60%,2.30%,1.80%,2.20%
169,"Sutter County, CA",2012,5Y,6.90%,8.10%,6.90%,7.00%,6.80%,7.00%,6.50%,6.00%,6.20%,6.00%,6.70%,6.00%,5.40%,4.60%,3.40%,2.40%,2.10%,2.00%
170,"Tehama County, CA",2016,5Y,7.50%,8.00%,7.10%,7.70%,6.90%,6.90%,6.50%,6.50%,6.20%,6.80%,6.50%,5.40%,5.20%,3.80%,3.30%,2.40%,1.90%,1.40%
171,"Tehama County, CA",2012,5Y,6.10%,7.10%,6.60%,6.30%,5.90%,6.00%,5.60%,5.60%,5.80%,6.10%,7.30%,6.80%,6.90%,5.90%,4.60%,3.60%,1.80%,2.10%
174,"Stanislaus County, CA",2016,5Y,7.60%,7.20%,8.40%,7.90%,7.40%,7.00%,6.60%,5.90%,6.80%,6.80%,6.60%,5.50%,5.10%,3.70%,2.70%,1.80%,1.50%,1.60%
175,"Stanislaus County, CA",2012,5Y,7.40%,7.50%,7.90%,7.50%,7.30%,7.20%,6.80%,6.20%,6.40%,6.30%,6.50%,5.90%,5.00%,4.00%,3.00%,2.10%,1.50%,1.60%
178,"Sonoma County, CA",2016,5Y,5.60%,6.00%,6.00%,6.30%,7.00%,6.40%,6.30%,6.00%,6.20%,6.80%,7.60%,7.40%,7.10%,5.00%,3.50%,2.40%,1.80%,2.40%
179,"Sonoma County, CA",2012,5Y,5.30%,5.80%,5.80%,6.20%,6.40%,6.50%,6.50%,6.00%,6.30%,6.50%,7.30%,7.30%,7.30%,6.10%,3.90%,2.60%,1.90%,2.30%
182,"Ventura County, CA",2012,5Y,6.60%,7.10%,6.80%,7.30%,7.30%,6.50%,6.40%,6.50%,6.40%,7.10%,7.50%,6.60%,5.30%,4.20%,2.70%,2.20%,1.60%,1.90%
183,"Ventura County, CA",2016,5Y,6.70%,7.00%,7.10%,7.70%,6.90%,6.60%,6.20%,6.50%,7.00%,7.50%,7.40%,6.10%,5.30%,3.80%,2.50%,2.10%,1.70%,1.70%
186,"Yuba County, CA",2016,5Y,7.60%,8.70%,7.60%,6.30%,7.30%,8.30%,8.00%,6.70%,5.10%,5.40%,6.20%,5.90%,6.10%,5.20%,1.70%,1.40%,1.00%,1.50%
187,"Yuba County, CA",2012,5Y,8.30%,8.10%,7.20%,6.70%,7.70%,8.20%,7.20%,5.90%,6.00%,5.70%,6.20%,6.40%,4.90%,4.40%,2.60%,1.90%,1.30%,1.30%
190,San Francisco County,2012,5Y,6.30%,6.50%,6.60%,6.90%,7.20%,6.80%,6.60%,6.20%,6.70%,6.90%,7.20%,6.60%,5.70%,4.40%,3.20%,2.40%,1.90%,1.90%
191,San Francisco County,2016,5Y,4.40%,3.50%,3.30%,4.30%,7.10%,11.10%,10.10%,8.70%,7.90%,7.10%,6.70%,6.20%,5.80%,3.80%,3.10%,2.70%,2.10%,2.20%
